summit_name,deaths_on_summit,accidents
Hallodri,0.0,2.0
Lehnwächter,0.0,1.0
Lorenzwand,0.0,3.0
Lorenznadel,0.0,2.0
Domkanzel,0.0,1.0
Domwächter,0.0,2.0
Dompfaff,0.0,1.0
Ameisenturm,0.0,1.0
Hauptdrilling,1.0,1.0
Härtelturm,0.0,2.0
Wilde Zinne,0.0,2.0
Wilder Kopf,1.0,3.0
Rokokoturm,0.0,1.0
Glatze,0.0,1.0
Freier Turm,1.0,1.0
Brosinnadel,1.0,3.0
Brückenturm,0.0,1.0
Leuchterweibchen-Vorkopf,0.0,1.0
Vorderes Leuchterweibchen,0.0,1.0
Gipfelbubenkopf,0.0,1.0
Bloßstock,2.0,10.0
Kreuzturm,0.0,6.0
Morsche Zinne,0.0,2.0
Wolfsturm,0.0,1.0
Backzahn,0.0,1.0
Wolfsspitze,0.0,4.0
Wolfsfalle,0.0,1.0
Satanskopf,0.0,1.0
Kleiner Amboss,0.0,3.0
Frienstein,3.0,13.0
Friensteinwächter,2.0,3.0
Bergfried,0.0,1.0
Lehnhorn,0.0,0.0
Domerker,0.0,0.0
Dompfeiler,0.0,0.0
Flachsköpfe,1.0,0.0
Teufelsspitze,0.0,0.0
Hinteres Leuchterweibchen,0.0,0.0
Nonnengärtner,0.0,0.0
Grottenwart,0.0,0.0
Friensteinkegel,0.0,0.0
Siegfried,0.0,0.0
Bergfriednadel,0.0,0.0
Winterbergbarbarine,1.0,0.0
Vorderer Lorenzturm,0.0,0.0
Hinterer Lorenzturm,0.0,0.0
Toter Turm,0.0,0.0
Wackerzacke,0.0,0.0
1. Zerborstener Turm,0.0,0.0
Zerborstene Scheibe,0.0,0.0
Domnadel,0.0,0.0
Däumling,0.0,0.0
Domspitze,0.0,0.0
Zitadelle,0.0,0.0
Hähnelspitze,0.0,0.0
Beelzebub,0.0,0.0
Schuellernadel,1.0,0.0
Freie Wand,0.0,0.0
Amboss,1.0,0.0
Jammerspitze,0.0,0.0
Veteran,0.0,0.0
Dämon,0.0,0.0
Wotan,0.0,0.0
Bauerlochturm,0.0,0.0
Falsche Zinne,0.0,0.0
Klosterwächter,0.0,0.0
Nordstern,0.0,0.0
Affenhorn,0.0,0.0
Knochenturm,0.0,0.0
Wolfsnadel,0.0,0.0
Affenstein,0.0,0.0
Hentzschelturm,0.0,0.0
Turm der Freundschaft,0.0,0.0
Lorenzsporn,0.0,0.0
Küster,0.0,0.0
Trabant,0.0,0.0
Weißhorn,0.0,0.0
Gamshornspitze,0.0,0.0
Gamshornwächter,0.0,0.0
Greenhorn,0.0,0.0
Heidelbeerturm,0.0,0.0
Verwitterter Turm,0.0,0.0
Rohnspitze,0.0,0.0
Brausenstein,0.0,0.0
Topograph,0.0,0.0
Schweizermühlenturm,0.0,0.0
Herkuleskopf,0.0,1.0
Schluchtnadel,0.0,0.0
Kleiner Herkulesstein,0.0,0.0
Herkulessohn,0.0,2.0
Wegelagerer,0.0,1.0
Hallenkopf,0.0,0.0
Glück-Auf-Turm,0.0,0.0
Schildkrötenturm,0.0,1.0
Kuchenturm,0.0,0.0
Zarathustra,0.0,7.0
Daxkopf,0.0,5.0
Ottostein,1.0,2.0
Kleiner Mühlenwächter,0.0,6.0
Bonze,0.0,1.0
Felsensportnadel,0.0,0.0
Wolfskopf,0.0,1.0
Verlassene Spitze,0.0,0.0
Hinterer Dürrebielewächter,0.0,0.0
Schwarze Wand,0.0,1.0
Sommerstein,0.0,0.0
Dürrebieleturm,0.0,2.0
Waldtorturm,0.0,0.0
Südliche Waldtornadel,0.0,2.0
Grenznadel,0.0,0.0
Schneespitze,0.0,0.0
Grauer Turm,1.0,1.0
Juliturm,0.0,0.0
Schwarzmühlenwächter,0.0,0.0
Himmelfahrtsturm,0.0,0.0
Bär,0.0,1.0
Wigwam,0.0,0.0
Schaftwaldturm,0.0,0.0
Semperhexe,0.0,1.0
Schöne Nadel,0.0,1.0
Glasergrundscheibe,0.0,0.0
Uhustein,0.0,0.0
Südlicher Wiesenstein,0.0,2.0
